repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.5794701986754968,0.6031628137831804,0.7322057283587428,0.5226680711426033,0.7322057283587428,"[0.7781954887218046, 0.7228513356562137, 0.742175572519084, 0.7146520146520146, 0.7142388451443569, 0.7187848383500559, 0.7276119402985075, 0.7089314194577352, 0.7188805346700083, 0.7757352941176471]"
50,0.5898013245033112,0.6064772328936913,0.7410494302953873,0.5303942653951355,0.7410494302953873,"[0.7781954887218046, 0.7228513356562137, 0.742175572519084, 0.7146520146520146, 0.7142388451443569, 0.7187848383500559, 0.7276119402985075, 0.7089314194577352, 0.7188805346700083, 0.7757352941176471, 0.7649253731343284, 0.7798611111111111, 0.6942748091603054, 0.75, 0.7447145877378436, 0.7338654891304348, 0.7616959064327485, 0.7654199475065616, 0.8248175182481752, 0.7391395154553049, 0.7807692307692308, 0.6908424908424908, 0.7281175059952038, 0.7773722627737226, 0.7216117216117216, 0.7817460317460317, 0.739009186351706, 0.7278613199665831, 0.7062499999999999, 0.7181113460183228, 0.6519083969465649, 0.7444444444444445, 0.7777777777777778, 0.7541771094402674, 0.6874451273046532, 0.7767558528428093, 0.7595419847328244, 0.7047448165869219, 0.7234169653524491, 0.753987240829346, 0.7093137254901961, 0.7634171195652174, 0.7461538461538462, 0.7691387559808611, 0.7429762949956102, 0.7674418604651163, 0.7691387559808611, 0.7467076382791923, 0.6856481481481482, 0.7658730158730158]"
10,0.6258278145695364,0.6060832688463655,0.7413041691891598,0.553478635317824,0.7413041691891598,"[0.7692147034252297, 0.7350464576074331, 0.7015267175572519, 0.7293040293040294, 0.7249015748031495, 0.7695094760312152, 0.7579016681299385, 0.6977671451355661, 0.7263993316624896, 0.8014705882352942]"
10,0.6258278145695364,0.6060832688463655,0.7413041691891598,0.553478635317824,0.7413041691891598,"[0.7692147034252297, 0.7350464576074331, 0.7015267175572519, 0.7293040293040294, 0.7249015748031495, 0.7695094760312152, 0.7579016681299385, 0.6977671451355661, 0.7263993316624896, 0.8014705882352942]"
10,0.5973509933774834,0.6031547698561945,0.7348162006917136,0.5342558648659581,0.7348162006917136,"[0.7541771094402674, 0.7269163763066202, 0.732442748091603, 0.7261904761904762, 0.7170275590551181, 0.7934782608695652, 0.7504389815627743, 0.6939792663476874, 0.6888053467000835, 0.7647058823529411]"
10,0.5973509933774834,0.6031547698561945,0.7348162006917136,0.5342558648659581,0.7348162006917136,"[0.7541771094402674, 0.7269163763066202, 0.732442748091603, 0.7261904761904762, 0.7170275590551181, 0.7934782608695652, 0.7504389815627743, 0.6939792663476874, 0.6888053467000835, 0.7647058823529411]"
10,0.5973509933774834,0.2291129215782976,0.918422158337019,0.3643809672199039,0.7348162006917136,"[0.7541771094402674, 0.7269163763066202, 0.732442748091603, 0.7261904761904762, 0.7170275590551181, 0.7934782608695652, 0.7504389815627743, 0.6939792663476874, 0.6888053467000835, 0.7647058823529411]"
10,0.5973509933774834,0.2291129215782976,0.918422158337019,0.3643809672199039,0.7348162006917136,"[0.7541771094402674, 0.7269163763066202, 0.732442748091603, 0.7261904761904762, 0.7170275590551181, 0.7934782608695652, 0.7504389815627743, 0.6939792663476874, 0.6888053467000835, 0.7647058823529411]"
10,0.6258278145695364,0.23874408931800734,0.8959679458828067,0.3750900854669761,0.7413041691891598,"[0.7692147034252297, 0.7350464576074331, 0.7015267175572519, 0.7293040293040294, 0.7249015748031495, 0.7695094760312152, 0.7579016681299385, 0.6977671451355661, 0.7263993316624896, 0.8014705882352942]"
10,0.6258278145695364,0.6060832688463655,0.7413041691891598,0.553478635317824,0.7413041691891598,"[0.7692147034252297, 0.7350464576074331, 0.7015267175572519, 0.7293040293040294, 0.7249015748031495, 0.7695094760312152, 0.7579016681299385, 0.6977671451355661, 0.7263993316624896, 0.8014705882352942]"
10,0.6238410596026489,0.23780375759547728,0.8959679458828067,0.373881255596309,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.6238410596026489,0.23780375759547728,0.8959679458828067,0.373881255596309,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
10,0.8754966887417218,0.5224080086580087,0.3934962311510299,0.44232958969249286,0.8350235078394223,"[0.8395989974937343, 0.8083623693379791, 0.8278625954198474, 0.8322344322344323, 0.8136482939632546, 0.8506131549609811, 0.8467954345917471, 0.8006379585326954, 0.8299916457811194, 0.9004901960784315]"
10,0.6238410596026489,0.6055886366982189,0.740166751019274,0.5519425725621049,0.740166751019274,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817, 0.7254578754578755, 0.7209645669291338, 0.7695094760312152, 0.7541703248463565, 0.6977671451355661, 0.7263993316624896, 0.7977941176470589]"
3,0.6357615894039735,0.6170430543972166,0.7365348908276815,0.572135217811007,0.7365348908276815,"[0.7692147034252297, 0.7350464576074331, 0.7053435114503817]"
