repeated_times,Accuracy,Precision,Recall,F1,AUC
10,0.9111940298507463,0.7677905363557538,0.7769230769230768,0.7718204746823741,0.9010327635327636
10,0.9119402985074627,0.7755014245014245,0.7692307692307693,0.7720105296109735,0.9025641025641026
10,0.9082089552238806,0.7731794871794871,0.7461538461538462,0.7592187028657617,0.9013176638176639
10,0.8970149253731344,0.808624496848181,0.6153846153846154,0.6972227895447136,0.9005341880341879
1,0.9328358208955224,0.8970642201834862,0.8853276353276354,0.8910273786934129,0.9127492877492878
10,0.9156716417910449,0.8650379161923256,0.8659188034188036,0.8653430354081266,0.9038461538461539
10,0.9164179104477611,0.8739731277941789,0.8532407407407409,0.8626677088745364,0.8933048433048434
10,0.9194029850746268,0.796621904665383,0.7884615384615385,0.7914464310155606,0.9007834757834757
10,0.9097014925373135,0.8019715230104246,0.7162749643396195,0.7527798636487149,0.9175693441578454
10,0.917910447761194,0.8738520627792369,0.8600071225071225,0.8663192689549237,0.8963675213675215
10,0.9111940298507463,0.7933805528313537,0.7506948010482494,0.7667494829650935,0.9179846475696415
10,0.9082089552238806,0.8560448873378398,0.850854443222663,0.8508538146344236,0.9161128835575008
