repeated_times,Accuracy,Precision,Recall,F1,AUC
10,0.909271523178808,0.7006101651186791,0.6047619047619046,0.6482567741040143,0.9163003663003664
10,0.9086092715231789,0.6925877192982456,0.6190476190476192,0.6520358163041091,0.9151282051282053
10,0.9125827814569536,0.7160929283994298,0.619047619047619,0.6627876794821597,0.9185347985347987
10,0.9039735099337747,0.688482542139663,0.5666666666666667,0.6210571907940329,0.9157509157509158
10,0.8986754966887418,0.6582069143446854,0.5666666666666667,0.6083396272741587,0.9114285714285714
10,0.8953642384105958,0.6283930977564037,0.6142857142857144,0.6191687470696039,0.904981684981685
10,0.8953642384105958,0.6270077367331373,0.619047619047619,0.6221708372927885,0.9094871794871795
10,0.905298013245033,0.6997432306255836,0.5571428571428572,0.6194873184346867,0.9161538461538463
10,0.9039735099337747,0.6802247318385091,0.5857142857142856,0.627801526107643,0.9167399267399269
10,0.9019867549668874,0.7517182817182817,0.43809523809523804,0.5524034599176912,0.9123443223443223
10,0.9079470198675494,0.6888923288613691,0.6190476190476191,0.6515256245679866,0.9133333333333334
10,0.895364238410596,0.6365993470753533,0.5809523809523809,0.6060637926231859,0.8954212454212455
10,0.8920529801324502,0.7388275613275613,0.34285714285714286,0.4662478752245159,0.9151282051282053
10,0.8973509933774834,0.7955839371519843,0.7427472527472527,0.7643783616791143,0.9167032967032969
10,0.895364238410596,0.8379502279337622,0.6697252747252748,0.713774543690467,0.9250183150183151
10,0.9086092715231787,0.8210020166191324,0.7712454212454213,0.7925339255395212,0.9235897435897437
10,0.905298013245033,0.6634924812030075,0.6619047619047619,0.659458671553051,0.9206959706959708
10,0.9066225165562912,0.6849736479700136,0.6142857142857142,0.6439185419532565,0.9223076923076924
10,0.9105960264900663,0.7058056265984655,0.6238095238095237,0.6582121786357986,0.91992673992674
10,0.9026490066225165,0.8955050505050505,0.3476190476190476,0.4958017930654194,0.9093406593406593
10,0.9086092715231787,0.6988234331887584,0.6190476190476191,0.6504087346024636,0.9184615384615386
10,0.9185430463576159,0.7409322325421396,0.6380952380952382,0.6852225074882328,0.9206593406593407
10,0.9198675496688742,0.7365669074647403,0.6619047619047619,0.6965169020111254,0.9192673992673994
10,0.914569536423841,0.7261597007223942,0.619047619047619,0.6677926282162483,0.9163003663003664
10,0.8993377483443709,0.9255952380952381,0.30476190476190473,0.4523234811165846,0.8981684981684982
10,0.9119205298013245,0.6977366197315047,0.6009410876361341,0.63287072079755,0.8982970820202227
10,0.914569536423841,0.7313580945198593,0.5642937566389579,0.6294903234114868,0.9012970972599199
10,0.9152317880794701,0.7034528153006414,0.5995101819405224,0.6398392042275983,0.9031384548792083
10,0.9139072847682119,0.7061757579365939,0.6060516959820366,0.6400664647405708,0.8981424422576584
