repeated_times,Accuracy,Precision,Recall,F1,AUC
10,0.9625,0.95,0.6111111111111112,0.7327149321266969,0.9396491228070175
10,0.9586538461538462,0.8535714285714284,0.6444444444444445,0.7296218487394959,0.9432748538011696
10,0.9615384615384615,0.8761904761904763,0.6666666666666667,0.7533333333333333,0.9450292397660819
10,0.9442307692307692,0.6907142857142856,0.6666666666666667,0.6762383900928792,0.9439766081871346
3,0.9455128205128206,0.8314875730994151,0.8192982456140351,0.8249799635110772,0.931384015594542
3,0.9487179487179486,0.8521750214123816,0.8210526315789474,0.8339021532446704,0.9360623781676414
3,0.9647435897435898,0.9369696332141103,0.8298245614035086,0.8737982153137592,0.9333333333333332
10,0.9701923076923078,0.9857142857142858,0.6666666666666667,0.795,0.9390643274853799
10,0.9711538461538461,0.9846938775510203,0.8333333333333333,0.8922279792746114,0.9438596491228071
10,0.9336538461538462,0.8061038961038962,0.6721245421245421,0.7284468242566714,0.9412759677947943
10,0.9317307692307694,0.7627992595639654,0.7139697802197802,0.7314359954018028,0.9433615155512964
10,0.9384615384615385,0.8191375291375291,0.6959340659340659,0.7495260152463809,0.9409686004157688
